IGBP Classification,IGBP,Description
Evergreen Needleleaf Forests,IGBP01,Dominated by evergreen conifer trees (canopy >2m). Tree cover >60%.
Evergreen Broadleaf Forests,IGBP02,Dominated by evergreen broadleaf and palmate trees (canopy >2m). Tree cover >60%.
Deciduous Needleleaf Forests,IGBP03,Dominated by deciduous needleleaf (larch) trees (canopy >2m). Tree cover >60%.
Deciduous Broadleaf Forests,IGBP04,Dominated by deciduous broadleaf trees (canopy >2m). Tree cover >60%.
Mixed Forests,IGBP05,Dominated by neither deciduous nor evergreen (40-60% of each) tree type (canopy >2m). Tree cover >60%.
Closed Shrublands,IGBP06,Dominated by woody perennials (1-2m height) >60% cover.
Open Shrublands,IGBP07,Dominated by woody perennials (1-2m height) 10-60% cover.
Woody Shrublands,IGBP08,Tree cover 30-60% (canopy >2m).
Savannas,IGBP09,Tree cover 10-30% (canopy >2m).
Grasslands,IGBP10,Dominated by herbaceous annuals (<2m).
Permenant Wetlands,IGBP11,Permanently inundated lands with 30-60% water cover and >10% vegetated cover.
Croplands,IGBP12,At least 60% of area is cultivated cropland
Urban and Built-up Lands,IGBP13,"At least 30% impervious surface area including building materials, asphalt, and vehicles."
Cropland/Natural Vegetation Mosaics,IGBP14,"Mosaics of small-scale cultivation 40-60% with natural tree, shrub, or herbaceous vegetation."
Permanent Snow and Ice,IGBP15,At least 60% of area is covered by snow and ice for at least 10 months of the year.
Barren,IGBP16,"At least 60% of area is non-vegetated barren (sand, rock, soil) areas with less than 10% vegetation."
Water Bodies,IGBP17,At least 60% of area is covered by permanent water bodies
Unclassified,IGBP255,Has not received a map label because of missing inputs.
